x,y
88,114
101,91
89,115
100,90
99,90
88,111
95,93
101,89
94,92
101,90
93,93
80,96
92,94
93,94
83,97
94,96
81,95
94,95
82,95
96,95
81,97
95,94
81,98
97,94
80,97
96,92
79,96
94,91
80,94
79,94
79,93
77,93
81,102
78,91
81,105
79,91
83,102
82,103
82,101
80,95
80,100
80,99
80,101
79,102
77,100
81,96
77,101
91,106
77,103
88,106
77,105
91,107
80,103
90,108
79,105
90,107
87,105
81,104
90,104
80,106
90,105
76,103
91,105
92,105
94,103
94,106
93,108
92,110
91,110
81,106
80,109
79,107
82,106
90,106
82,107
83,110
80,108
78,106
81,107
83,98
84,97
86,97
93,91
92,90
93,92
93,89
94,89
85,87
91,88
91,89
84,86
83,86
83,91
92,89
88,99
85,91
88,98
84,90
86,99
82,89
88,97
81,91
90,95
90,98
91,97
82,91
82,92
90,96
83,93
92,96
84,92
90,101
85,93
90,102
84,94
91,103
85,94
92,102
87,92
92,100
88,93
92,99
88,95
91,98
90,99
88,100
86,107
87,101
86,101
85,108
85,101
87,109
85,102
87,108
86,106
86,102
85,107
84,103
83,106
87,103
84,106
88,101
85,105
86,103
96,103
83,104
85,110
86,109
98,101
90,113
97,101
91,113
96,100
90,115
94,100
95,100
92,113
96,104
93,113
94,114
96,105
95,114
97,108
95,111
93,112
91,111
97,106
96,116
96,108
102,115
98,109
99,110
103,110
98,106
101,118
102,103
103,111
102,102
101,109
102,100
102,117
101,102
103,109
100,103
103,105
99,114
102,114
103,107
127,127
102,106
91,86
126,127
127,129
144,123
92,86
91,77
90,85
90,77
89,85
91,78
89,86
89,79
90,86
91,79
95,87
94,87
94,86
83,87
91,76
82,88
84,88
85,88
86,89
90,76
89,76
89,74
88,74
87,74
86,74
89,75
88,77
89,77
78,72
78,74
78,71
80,70
91,75
81,70
80,71
95,77
92,78
93,77
92,77
93,79
94,79
95,78
96,77
94,77
92,74
93,75
93,74
81,75
82,75
80,75
94,76
81,74
82,73
93,76
83,75
84,75
85,75
92,83
93,80
83,76
91,80
82,77
91,83
81,76
92,84
80,76
93,83
81,78
94,84
79,76
94,83
78,76
92,81
77,75
91,81
90,82
90,83
92,82
90,69
79,75
92,68
90,68
90,66
89,68
88,68
88,70
91,70
91,71
87,68
86,67
92,69
85,69
91,69
86,69
84,63
88,66
83,68
86,68
97,79
96,78
98,79
95,80
97,81
98,82
80,73
81,72
99,81
80,72
99,80
80,74
83,78
82,79
81,79
84,79
77,87
84,80
77,89
85,80
76,89
85,82
75,88
84,81
75,87
83,82
76,86
83,81
77,85
77,86
86,77
77,84
79,87
78,88
88,78
81,84
85,77
79,85
80,86
85,78
81,88
86,79
81,87
87,79
82,84
88,79
83,83
83,84
86,76
87,83
85,85
84,84
87,80
82,83
88,84
81,81
87,85
81,80
79,81
85,84
79,83
86,82
81,83
87,84
52,38
88,82
53,38
88,81
48,36
87,81
49,37
59,38
55,39
89,80
46,35
89,81
48,48
85,71
60,38
84,70
82,70
82,71
84,72
82,72
83,74
83,73
85,73
54,38
53,37
86,72
86,71
